mel_Y	mel_other	mau_Y	mau_other	sim_Y	sim_other	sec_Y	sec_other
0	295	0	57	0	346	0	311
0	0	0	46	0	283	0	237
565	2613	114	3568	893	3180	276	4106
0	15026	227	14890	980	8205	321	7574
0	0	0	288	0	54	0	54
483	24811	1600	28621	249	29619	445	31909
2682	2113	0	0	275	769	404	2094
0	18	341	207	78	507	122	960
0	83	0	68	0	240	0	38
0	0	0	348	0	76	0	420
0	0	0	958	0	1235	0	221
192	70	476	145	621	78	113	570
76	8191	998	28822	547	2169	248	3191
74	496	0	88	0	116	0	472
0	972	137	508	0	0	67	0
3545	3002	1996	703	834	4543	2453	1265
0	0	0	341	0	389	0	81
0	38	0	75	0	333	0	340
0	37	0	1564	0	785	0	4338
0	121	0	173	0	40	0	183
581	4452	2270	3471	5160	2925	800	5634
0	52910	884	25519	4255	30298	1245	47359
0	105	1756	393	666	163	97	418
0	29237	1057	34948	185	30540	763	35295
0	95	0	43	0	147	0	215
0	8187	0	5803	0	2262	0	1120
0	0	0	427	0	1361	0	276
663	11474	1696	14242	268	12535	1356	22586
0	475	49	304	49	111	120	46
0	546	0	786	0	494	0	162
0	3041	0	1319	0	621	0	3093
0	1213	0	741	0	222	0	1003
0	105672	0	23993	0	6867	0	29741
0	1290	0	1359	0	1281	0	337
0	457	0	37	0	146	0	37
0	58	0	145	0	269	0	58
0	853	0	462	0	1711	0	451
0	49	0	268	0	60	0	94
0	91	0	81	0	47	0	214
2707	3629	1386	7647	261	6245	1167	7211
0	9623	0	1407	0	6117	0	2372
0	790	0	100	0	30	0	118
0	508	0	419	0	411	0	118
0	0	0	362	0	1398	0	1115
0	54	0	189	0	54	0	54
0	867	0	559	0	136	0	340
0	5607	0	316	0	1298	0	765
0	678	0	167	0	77	0	40
0	0	0	889	0	1824	0	447
1033	271	0	4144	0	2462	0	9780
0	263	0	126	0	44	0	162
0	0	0	88	0	278	0	298
0	693	49	8999	96	6339	17	4352
116	20618	2036	0	3855	942	861	2191
238	150	361	34	96	42	664	1952
0	271	220	671	209	93	181	752
0	100864	0	160	0	196	0	562
0	84	0	61	0	235	0	114
0	36	0	122	0	39	0	130
0	0	0	36	0	36	0	115
0	84	0	322	0	495	0	135
0	664	0	337	0	104	0	112
0	697	0	3230	0	883	0	1624
74	3866	318	1332	305	552	159	1464
0	157	0	160	0	382	0	108
0	263	0	153	0	51	0	159
0	37	0	37	0	129	0	86
43	140	3183	179	79	209	150	209
3890	41	0	6068	0	9946	0	2883
0	367	0	186	0	456	0	137
0	0	0	275	0	114	0	82
0	37	0	76	0	37	0	130
0	5556	4773	713	1034	3022	1961	1989
0	718	0	1382	0	3079	0	4544
0	312	0	63	0	169	0	55
0	382	0	243	0	138	0	72
0	210	0	130	0	247	0	434
0	987	0	193	0	256	0	81
359	5438	0	4326	0	9795	0	13754
0	34	0	96	0	34	0	34
0	1150	721	2053	1125	332	285	654
0	71	0	321	0	117	0	117
0	18961	0	6855	0	4084	0	12946
0	45	0	94	0	98	0	261
0	3692	0	2763	0	1641	0	5163
0	169	0	166	0	166	0	61
0	0	0	282	0	90	0	141
0	244659	0	72916	0	30424	0	85946
0	0	0	56	0	123	0	41
0	132	0	88	0	262	0	188
0	693	0	181	0	59	0	104
0	303	0	172	0	305	0	522
0	232	0	302	0	294	0	115
0	53	0	97	0	291	0	173
0	2134	0	502	0	764	0	1484
0	121	0	168	0	75	0	213
0	518	0	521	0	550	0	209
0	2774	3086	5544	3495	4595	1327	7162
0	495063	0	106326	0	36730	0	71524
0	525	0	170	0	170	0	425
0	0	0	50	0	50	0	126
0	0	0	183	0	81	0	212
0	102	0	33	0	77	0	86
0	791	0	1126	0	805	0	412
0	0	0	212	0	212	0	87
0	0	0	4687	0	1886	0	1995
0	496	0	1242	0	1287	0	525
408	237	59	138	212	46	59	79
0	2046	0	2087	0	1789	0	817
0	1590	0	464	0	181	0	389
0	152	0	225	0	83	0	152
0	3127	0	277	0	584	0	715
2282	3825	0	7489	0	3412	0	8561
0	0	0	0	38	53	258	0
0	23417	1254	10673	927	9075	3747	12541
0	1426	0	629	0	722	0	1564
0	0	0	75	0	73	0	174
0	560	0	784	0	296	0	484
693	960	0	590	0	268	0	648
0	7399	0	2820	0	2475	0	1152
0	1051	0	2530	0	981	0	1336
0	0	0	278	0	120	0	120
0	891	0	532	0	1155	0	1283
0	1955	0	1055	0	413	0	787
0	406	0	239	0	145	0	378
39	8688	0	2624	0	2302	0	5534
0	1347	0	150	0	148	0	338
0	62	0	112	0	49	0	49
0	33	0	252	0	152	0	390
63	8622	88	12489	148	8781	180	11988
0	0	0	37	0	34	0	80
0	0	0	122	0	48	0	71
0	2637	0	565	0	242	0	271
0	699	0	2547	0	1037	0	1896
0	0	0	69	0	60	0	142
0	0	0	785	0	899	0	386
0	74	0	233	0	290	0	556
0	205	0	578	0	1380	0	1092
0	3292	0	7215	0	3573	0	8250
0	6596	126	5854	263	5131	128	5046
0	149	0	166	0	74	0	80
0	548	0	304	0	642	0	296
0	1664	574	735	570	1194	2413	735
0	197	0	205	0	162	0	377
480	0	0	58	0	137	0	79
0	27789	0	3689	0	7761	0	7792
0	34	0	60	0	34	0	80
0	2409	0	478	0	215	0	247
0	258	0	68	0	143	0	143
0	1417	0	760	0	410	0	337
0	39	0	39	0	39	0	82
0	171	0	653	0	619	0	307
0	63700	0	124820	0	56605	0	65919
0	65	0	147	0	98	0	63
78	202	1036	196	1598	120	1271	1654
0	2545	0	1099	0	1484	0	2485
0	0	0	676	0	404	0	300
0	847	0	1134	0	1012	0	2152
0	0	0	46	0	46	0	94
0	326	0	209	0	99	0	192
0	338	0	295	0	384	0	173
0	12648	1275	1933	1587	3058	1546	6747
164	132	94	48	105	130	0	0
0	17521	2809	8805	1332	10579	1476	9213
0	5086	0	1773	0	3021	0	3834
0	774	0	296	0	304	0	591
0	80	0	158	0	158	0	80
0	77	1539	3674	1849	1153	1405	1266
0	310	0	1013	0	490	0	887
0	311	0	39	0	76	0	78
0	3953	0	7587	0	3543	0	4756
0	184	0	157	0	129	0	271
1435	1394	0	222	0	321	0	475
0	1273	0	885	0	1411	0	1851
0	796	0	577	0	516	0	288
1074	5461	223	5858	108	4753	109	6059
0	65	0	60	0	107	0	53
0	4710	0	3882	0	4393	0	7769
0	253	0	793	0	948	0	466
54	384	2805	553	1266	1699	1142	1329
0	129	0	411	0	203	0	346
0	742	0	561	0	1098	0	611
0	650	0	1116	0	1821	0	893
636	56223	0	17798	0	15861	0	31322
0	66	0	40	0	76	0	40
0	254	457	492	5053	169	2243	703
0	5713	0	2708	0	2099	0	4219
0	385	0	319	0	297	0	168
0	266	0	56	0	103	0	103
0	0	0	107	0	196	0	196
0	0	0	76	0	76	0	139
0	115	0	69	0	134	0	115
160	199	118	2172	172	1872	242	2176
0	113	0	50	0	71	0	100
195	3831	918	1972	237	1238	480	1510
0	666	0	685	0	519	0	1024
0	387	0	113	0	64	0	119
0	0	0	294	0	152	0	188
0	26711	0	23137	0	16566	0	11837
0	1881	0	2246	0	1601	0	3115
0	336	0	0	0	0	410	320
0	226	0	455	0	872	0	560
0	0	0	56	0	100	0	56
0	0	0	466	0	381	0	727
0	2247	0	1243	0	1882	0	2366
0	77	0	136	0	136	0	77
670	2189	0	2863	0	4461	0	5384
0	232	0	266	0	152	0	268
0	0	0	63	0	63	0	111
0	31	0	138	0	113	0	213
0	3613	445	1588	587	858	824	1583
0	76	0	141	0	90	0	76
0	3142	574	4125	1154	3907	658	3614
0	389	0	580	0	1039	0	631
0	0	0	0	0	0	2629	1902
0	158	0	148	0	262	0	160
0	59	0	59	0	101	0	59
0	291	0	1550	0	922	0	915
0	307	0	970	0	1481	0	1738
0	9332	0	7740	0	7952	0	13198
1077	1611	62	43	723	0	0	0
0	344	0	167	0	167	0	99
384	1092	109	565	198	660	165	1123
0	391	0	1103	0	1149	0	681
0	3470	0	2869	0	2444	0	4293
0	793	0	443	0	722	0	743
0	3501	0	4314	0	4197	0	2584
1460	15639	2153	16267	1165	11330	1217	17198
0	182	0	184	0	324	0	228
0	5466	0	4256	0	2469	0	2814
0	1471	0	964	0	1199	0	1690
0	13770	0	2012	0	1307	0	1185
0	348	482	1307	361	1989	361	1449
0	90688	0	25901	0	16168	0	26546
0	868	0	777	0	1207	0	1295
0	433	0	163	0	163	0	101
0	320	0	134	0	83	0	83
0	0	0	59	0	46	0	80
0	0	0	76	0	122	0	76
0	1002	0	908	0	1482	0	951
0	2499	0	4943	0	2886	0	3666
0	189363	0	19084	0	30874	0	29960
0	1686	0	2382	0	1427	0	2116
0	2334	0	4126	0	3964	0	2545
0	913	338	323	2538	384	414	258
0	3512	0	4799	0	3974	0	6727
115	2426	829	3117	658	4342	635	4114
0	486	0	567	0	676	0	401
0	4009	0	3906	0	2305	0	2916
0	151	0	76	0	48	0	48
404	20138	0	6020	0	9401	0	9517
0	1625	0	1761	0	1736	0	1116
0	899	0	859	0	648	0	512
0	2426	0	3669	0	2966	0	4962
102	1900	0	750	0	811	0	501
0	1470	0	1343	0	1943	0	2205
0	209	0	103	0	161	0	103
0	4643	0	3424	0	5649	0	4813
0	0	0	10376	0	6270	0	7492
0	1025	0	495	0	357	0	590
473	1080	4248	2577	2613	2182	2361	3834
0	459	0	860	0	765	0	529
0	1905	0	1092	0	709	0	1099
0	1094	0	726	0	1176	0	822
272	589	1181	178	936	827	2883	1378
0	1167	0	2297	0	3630	0	3353
0	162	0	1504	0	2102	0	2420
0	182	0	253	0	254	0	387
2034	45746	2230	4191	1440	5239	2086	5124
0	1025	0	1278	0	1434	0	905
0	1904	0	2693	0	2019	0	3244
104	159	0	258	0	370	0	405
0	104	0	298	0	443	0	294
0	193	0	139	0	89	0	126
0	45	0	135	0	135	0	90
0	75	0	111	0	74	0	74
0	0	0	203	0	302	0	203
0	1096	0	1275	0	1977	0	1431
549	323	3870	959	226	209	510	203
0	54	0	67	0	67	0	99
0	2663	0	1336	0	1910	0	1270
0	0	0	2749	0	1804	0	1978
0	1151	0	968	0	679	0	651
0	41	0	391	0	264	0	273
0	3191	0	1129	0	1637	0	1121
0	603	0	882	0	882	0	606
0	59	0	327	0	238	0	216
0	1209	0	5751	0	7910	0	8637
192	3300	0	3427	0	3315	0	4872
0	1091	0	1116	0	1294	0	850
0	80	0	116	0	80	0	116
276	702	1828	40	0	0	2002	911
0	170	0	176	0	122	0	122
0	1023	0	2688	0	1845	0	2575
0	3652	0	219	0	313	0	219
2688	61165	0	22107	0	15062	0	20616
4129	14641	0	4340	0	6011	0	6290
0	5467	0	2196	0	3278	0	2735
0	57	0	132	0	114	0	169
0	143	0	114	0	165	0	121
0	997	0	1274	0	868	0	1006
0	651	0	648	0	482	0	686
0	262	0	224	0	269	0	327
0	258	0	225	0	170	0	157
0	1682	1228	687	6498	1281	1823	1300
0	525	0	1009	0	1462	0	1227
0	4659	0	4445	0	4622	0	6205
0	1217	0	1290	0	1835	0	1667
0	0	0	886	0	621	0	712
0	0	597	217	0	0	0	0
0	1727	0	348	0	340	0	254
0	1649	0	1646	0	2209	0	1629
0	3644	0	3222	0	4091	0	2945
0	493	0	138	0	104	0	141
110	19448	0	5767	0	4546	0	4191
428	19566	473	19742	410	22600	550	22352
0	1292	0	621	0	511	0	447
0	314	0	216	0	159	0	166
0	128	0	67	0	75	0	93
0	418	0	284	0	359	0	390
0	18072	0	39028	0	36484	0	28681
0	408	0	1051	0	795	0	797
0	593	0	451	0	428	0	335
0	810	0	1327	0	969	0	1145
0	194	0	272	0	202	0	255
0	30	0	208	0	198	0	265
12	187	0	103	0	135	0	103
328	5917	0	80	0	61	0	61
577	1239	2040	3110	2136	1889	2232	3052
0	249	0	287	0	240	0	213
0	3697	0	1764	0	1414	0	1333
0	470	0	1128	0	1193	0	1491
139	4799	0	4547	0	3458	0	4357
0	13580	0	13448	0	10876	0	14425
0	44	0	44	0	44	0	57
0	427	0	419	0	491	0	561
839	3869	0	1547	0	1618	0	2030
0	5135	0	6018	0	5990	0	7724
0	2246	0	3680	0	2918	0	2831
0	381	0	428	0	383	0	324
57	3491	0	4232	0	3653	0	4827
0	118047	0	15879	0	12054	0	14066
0	202	0	390	0	344	0	296
0	18597	0	16727	0	19193	0	14608
0	811	0	632	0	560	0	735
0	860	170	45	387	0	0	0
0	1056	0	535	0	583	0	697
0	1173	0	582	0	538	0	449
0	179	0	210	0	270	0	221
0	1675	0	591	0	576	0	465
0	1095	0	969	0	1206	0	956
103	3704	0	5795	0	7497	0	6812
0	0	0	36	0	46	0	38
747	44742	188	50219	206	49827	226	47076
0	107	0	61	0	49	0	61
0	0	832	129	600	168	0	0
123	10413	0	12936	0	10244	0	12363
3077	13167	0	3071	0	3922	0	3445
0	18168	0	16988	0	20852	0	16824
0	1159	0	211	0	229	0	268
0	1376	0	1460	0	1425	0	1171
0	5555	0	1614	0	1602	0	1960
0	5905	0	2484	0	3084	0	2636
0	1061	275	58	871	0	1198	0
0	3257	0	2821	0	3287	0	3488
244	25783	0	1859	0	1729	0	1500
0	690	0	776	0	657	0	636
0	672	0	679	0	580	0	710
0	10971	0	4189	0	4161	0	4998
0	12828	0	10520	0	10894	0	8967
0	271	0	358	0	298	0	301
0	1099	0	1491	0	1222	0	1374
0	64	0	506	0	608	0	594
0	304	0	187	0	222	0	187
0	0	0	669	0	743	0	610
0	2959	0	2436	0	2009	0	2144
0	92	0	168	0	193	0	203
0	658	0	57	0	57	0	48
0	557	0	755	0	646	0	636
0	968	0	1493	0	1410	0	1245
0	5885	0	5396	0	4624	0	5456
0	440	0	324	0	365	0	385
0	64	0	45	0	42	0	50
0	473	0	1148	0	1323	0	1335
566	1048	1739	186	2474	157	1309	323
0	757	0	824	0	892	0	972
1755	1829	2652	132	757	150	2059	66
0	7582	0	4979	0	5457	0	4654
0	12679	0	14860	0	13029	0	12964
0	0	0	474	0	542	0	542
0	6442	0	3970	0	3495	0	3461
0	11437	0	4901	0	5376	0	5698
3889	26964	0	28292	0	28944	0	32559
0	264	0	252	0	250	0	286
4638	2997	0	3861	0	3858	0	3390
0	57	0	50	0	50	0	57
0	1672	0	1846	0	1914	0	2128
0	827	170	0	3661	165	1095	168
0	1121	0	1190	0	1227	0	1366
0	824	0	910	0	826	0	791
0	28384	0	25712	0	22849	0	25881
0	1623	0	1559	0	1358	0	1487
0	7467	0	4912	0	5479	0	5579
0	0	0	67	0	59	0	66
184	4204	784	272	1682	547	1566	308
0	17134	1223	7352	810	5421	1721	10008
0	2393	0	1983	0	2207	0	2211
0	2227	0	1405	0	1521	0	1350
0	84	0	101	0	91	0	91
0	96	0	102	0	102	0	92
1409	369	1947	1309	2537	2053	2337	2049
0	8786	0	10507	0	11127	0	9898
0	532	0	257	0	284	0	257
0	2376	0	3020	0	2918	0	2705
11	99	0	1480	0	1643	0	1565
0	1142	0	1116	0	1025	0	1127
0	1660	0	1782	0	1644	0	1625
0	348	0	1120	0	1227	0	1203
0	1892	0	12209	0	13177	0	13313
0	2170	0	1387	0	1494	0	1506
0	2168	0	1941	0	1781	0	1819
0	0	0	205	0	190	0	203
0	983	0	1434	0	1331	0	1350
0	2673	0	3690	0	3423	0	3623
0	13904	0	10652	0	11473	0	11206
0	17119	0	19240	0	18267	0	17935
0	5073	0	11625	0	11424	0	12234
0	327	0	328	0	309	0	328
44	1874	0	2889	0	2825	0	2703
0	25849	0	27850	0	26761	0	26041
0	0	0	1221	0	1294	0	1221
0	0	3466	204	3366	0	169	0
180	102330	0	94548	0	100209	0	95858
0	4867	0	4912	0	5053	0	5214
0	479	0	503	0	503	0	479
0	827	0	651	0	645	0	679
0	275	0	551	0	576	0	566
249	5425	0	2615	0	2517	0	2520
0	2624	0	1584	0	1588	0	1645
760	0	937	33	1131	86	752	32
0	5804	0	4082	0	3942	0	3978
0	51	0	67	0	69	0	67
0	118	1509	48	810	48	2732	100
0	53	0	66	0	67	0	67
0	0	0	64	0	64	0	64
0	136	0	136	0	136	0	136
0	54	0	54	0	54	0	54
0	0	0	40	0	40	0	40
0	138	0	42	0	42	0	42
0	0	0	93	0	93	0	93
0	0	0	46	0	46	0	46
0	0	0	0	0	0	0	0
0	45	0	0	0	0	0	0
0	252	0	68	0	68	0	68
0	928	0	0	0	0	0	0
0	276	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	68	0	0	0	0	4258	0
0	35	0	35	0	35	0	35
0	35	0	0	0	0	0	0
0	39	0	0	0	0	0	0
0	49	0	50	0	50	0	50
0	772	0	62	0	62	0	62
0	106	0	0	0	0	0	0
0	951	0	0	0	0	166	0
0	838	0	0	0	0	0	0
0	69	0	0	0	0	0	0
0	116	0	0	0	0	0	0
0	55	0	55	0	55	0	55
0	62	0	0	0	0	0	0
0	64	0	0	0	0	0	0
0	50	0	50	0	50	0	50
0	50	0	0	0	0	0	0
0	35	0	0	0	0	0	0
0	100	0	0	0	0	0	0
0	51	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	84	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	63	0	0	0	0	0	0
0	860	0	0	0	0	0	0
0	0	0	0	0	0	86	0
0	0	0	36	0	36	0	36
0	98	0	0	0	0	0	0
0	47	0	47	0	47	0	47
0	62	0	62	0	62	0	62
0	861	0	65	0	65	0	65
0	109	0	265	0	265	0	265
0	44	0	0	98	0	0	0
0	132	0	33	0	33	0	33
4595	1939	0	0	0	0	0	0
0	92	0	92	0	92	0	92
0	140	0	0	0	0	0	0
0	0	0	0	0	0	114	0
0	278	0	0	0	0	0	0
0	0	80	0	0	0	0	0
0	67	0	67	0	67	0	67
0	0	0	0	0	0	0	0
33	0	0	0	0	0	55	0
0	164	0	0	0	0	0	0
0	63	0	0	0	0	0	0
0	38	0	0	0	0	0	0
0	112	0	0	0	0	0	0
0	0	395	0	0	0	429	0
0	130	0	65	0	65	0	65
0	34	0	0	0	0	0	0
0	0	0	0	0	0	60	0
0	67	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	61	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	41	0	73	0	73	0	73
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	111	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	69	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	91	0
0	0	0	0	0	0	0	0
0	564	0	0	0	0	0	0
0	0	0	112	0	112	0	112
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	56	0	56	0	56
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	56	0	0	0	0	0	0
0	39	0	0	0	0	0	0
0	164	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	50	0	0	0	0	0	0
0	0	0	0	635	0	0	0
0	1039	565	0	0	0	0	0
0	36	0	0	0	0	0	0
0	0	52	0	0	0	0	0
0	0	0	0	0	0	0	0
0	51638	0	0	0	0	0	0
0	45	0	45	0	45	0	45
0	59	0	0	0	0	0	0
0	39	0	0	0	0	0	0
0	54	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	498	0	92	0	92	0	92
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	44	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	36	0	36	0	36
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	312	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	50	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	69	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	79	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	15	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	73	0	0	0	0	0	0
0	0	388	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	68	0	68	0	68
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	107	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	61	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	118	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	83	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	58	0	0	0	0	0	0
0	0	0	37	0	37	0	37
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	930	0	930	0	930	0	930
0	5394	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	48	0	0	0	0	0	0
0	104	0	0	0	0	0	0
0	46	0	0	0	0	0	0
0	63	0	63	0	63	0	63
0	187	0	0	116	0	0	0
0	108	0	108	0	108	0	108
0	47	0	0	0	0	0	0
0	221	0	0	0	0	0	0
0	49	0	49	0	49	0	49
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	53	0	53	0	53
0	0	0	0	0	0	0	0
1228	8581	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	80	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	282	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	67	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	64	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
