mel_Y	mel_other	mau_Y	mau_other	sim_Y	sim_other	sec_Y	sec_other
3247	112949	205957	257240	70134	185669	124705	329599
0	0	46827	661489	41270	1033861	50197	888386
63746	233302	361401	149944	176108	240580	530835	295552
673	2124	43271	7165	2453	0	4013	2807
286241	368147	40736	13672	21724	25924	40393	16622
3873	55746	4505	43977	7722	44694	7677	44489
24178	54537	170052	109054	200211	61073	209100	251872
14930	64283	17366	81087	16632	42521	27705	75940
14480	63869	42003	118759	46998	74852	37910	120279
66654	128169	81937	126506	159230	173623	34398	84469
16417	412338	18836	423162	21483	399670	32811	435250
4403	29749	4901	7399	7371	8105	4939	11979
61502	73401	85304	55524	116710	143386	96137	163067
306083	295111	63675	42637	49357	66142	38795	65463
1666	88220	43797	18363	49952	17304	36727	40436
29759	133116	68123	66455	25212	54775	37004	63292
1028	466	18361	14470	4528	3364	27756	4951
3951	20971	6543	25375	10351	28497	13560	27993
1601	224520	100655	36525	45888	41574	115395	130170
188287	269199	26233	49828	96924	82941	156343	171605
0	7516	4632	3641	2785	4563	3575	5957
16715	93598	13600	24149	35496	28974	50089	48670
36608	93028	125760	64768	109361	83037	228180	308637
7155	128376	8301	128525	10665	119682	12886	126503
5558	18858	4758	8237	10127	9136	15529	13270
32062	147195	39175	34955	15933	29109	30709	49508
593036	334750	758444	282056	743069	470794	422492	459256
57731	179483	25050	34651	12166	28339	25903	33425
13210	29210	35232	55658	21870	58426	50602	79886
0	835	6008	3487	4890	5556	3882	5124
226489	225325	637341	243066	569324	399703	382756	408407
198021	518501	14450	111633	9393	96027	9705	116380
0	4378	7751	6006	8178	8926	5795	9500
3147	20237	89504	123499	87713	220525	84958	169952
454	9060	151324	112767	154122	208632	103983	158312
4242	8512	36745	6999	10579	5420	80835	2928
3158	8401	11195	4306	5434	4809	14056	4615
0	47269	7174	10267	14072	16299	26023	18454
0	4426	40179	15445	30477	10020	4031	40
41785	24864	0	2790	0	2047	0	2707
33345	183086	192081	243211	135523	170395	106486	215651
113377	143601	107899	69499	157264	40382	194673	137541
564448	128891	267507	8776	160014	49401	137101	54863
124816	112730	114983	110480	181572	95468	174416	86973
2792	17502	5912	12031	8215	11354	12612	17503
73184	50770	31056	23257	70914	36477	33414	32859
365002	212780	90803	114405	61271	119177	100953	153273
35187	82131	56061	92507	55191	81764	71983	75668
2031	1402	9154	10375	8046	5855	11125	7449
10094	36719	29227	39940	37349	70913	59342	119480
7383	20582	12834	33006	12243	29145	18501	33707
110103	31527	22905	27924	13615	19273	22332	40768
60479	108207	65449	62847	23610	26190	85518	127330
9925	36774	59260	47490	91385	113507	76568	92548
3415	19795	52261	33674	22532	24151	52500	38875
92758	866425	590392	779056	472676	790262	453234	879489
466098	315289	168697	27799	211568	27473	181268	73964
4045	14482	42758	26241	64088	17676	43850	19074
527348	511065	1443186	439208	1067306	257114	695699	383208
0	0	4094	0	6901	636	4020	985
231907	238936	214988	65970	173287	44497	115526	61724
7509	8235	5164	20375	2157	6878	5595	17189
153781	75311	122023	35466	161440	50684	215453	120423
44821	541937	38278	494641	46093	488925	49569	530094
187971	373270	120257	179712	97974	169238	243685	299149
21951	121784	0	6979	0	6934	0	8260
87624	39838	235827	75644	161549	40907	178710	89227
35506	73582	103262	42461	65916	41245	242868	160381
47632	64851	383987	97424	233170	43872	341217	134766
2417	8337	7340	9153	6816	8883	11031	10811
178122	293504	396013	99581	139943	62765	375924	117572
14338	334981	223278	359933	227630	315561	234006	400703
223	9723	59426	20036	34057	16104	68643	35404
21476	20592	17972	7657	13766	4286	35877	9075
18744	29582	78799	70825	42070	37517	63876	68929
743	24910	12067	26031	11385	21507	13564	27277
2180	7434	128273	92831	125653	108953	150874	115733
2644	69	4572	0	988	62	11024	62
116	6181	155745	85006	132768	63869	108657	51874
88267	98880	370383	219636	518745	288806	557281	355359
54577	4131	164681	44534	48474	10539	111842	24810
30682	61081	72266	51126	143564	96072	126141	91038
0	69	0	0	0	0	13640	79
96036	308186	0	0	0	0	0	0
